Study,order checked,cohort,shared control,Age at test,Age at test_months,Measure,Sub measure,Checked,direction of improved health,Measurement type,Measure_exact notes,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Mixedsexenvironment,Environment,Wild_or_semi_wild,Age_at_treatment,Age at treatment_weeks,Control_value,Experimental_value,Error_control_extracted,Error_experimental_extracted,measurement_parameter,measurement_unit,Error_unit,Error_control_SD,Error_experimental_SD,whole IQR control,whole IQR treatment,control sample size range,experomental sample size range,Coefficent_unit,Sample_size_control,Sample_size_experimental,Notes,Notes2,Notes3
Hotchkiss 1995,62,26,26,at necrospy,death,Pathology at death,Tumor_nonmammory,checked,decreased,pituitary tumors,pituitary tumors,yes,intact,Female,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,90 days,13,0.75,0,,,Proportion,proportion,,,,,,,,,8,12,table 1,,
durbin 1966,36,28,29,At some point over life,death,Pathology at death,Tumor_nonmammory,checked. Changed to proportion,decreased,superficial skin and subcutaneous tumor not mammary,superficial skin and subcutaneous tumor not mammary,oophorectomy,intact,Female,Ratus ratus,Rat,CD,no,Laboratory,No,77days,11,0.054744526,0.136363636,,,Proportion,number,,,,,,,,,548,44,table 4,excluded data for other skin tumors because control group is not comparable?,
pullinger 1961,108,59,59,end of life,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Pulmonary adenoma,pulmonary adenoma,yes,intact,Female,Mus musculus,Mice,C3Hf,no,,,57 to 67 days,9,0.127,0.0625,,,Proportion,,,,,,,,,,110,32,End of text for exp 3 results section,some other pathologies are listed but not included in protocol,
Drori and Folman 1976,168,68,68,End of life,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Proportion with hypophyseal adenoma,Proportion with hypophyseal adenoma,yes,intact,Male,Ratus ratus,Rat,Albino,no,,,41 days,6,0.085,0.217,,,proportion,,,,,,,,,,48,46,Table 3,Other pathologies (pneumonia and enteritis) are listed but not included in healthspan search protocol,
Pullinger and Head 1964,183,72,72,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Liver pathology,Percentage hepatoma,yes,intact,Female,Mus musculus,Mice,C3Hf,no,,,56 to 111 days of age,12,0.245,0.25,,,Proportion,,,,,,,,,,110,32,Table 1,"Data is available for breeding females and castrated males, but not relevant control or matched sterilized group",
Holand 1977,192,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Adrenal-Cortical adenoma,Adrenal-Cortical adenoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.009,0.0642,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,191,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Harderian adenoma,Harderian adenoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.009,0.049,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,189,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,nonthymic lymphosarcoma,nonthymic lymphosarcoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.128,0.039,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,190,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,nonthymic lymphosarcoma,nonthymic lymphosarcoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.128,0.039,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,193,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,pituitary tumors,Pituitary adenoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.083,0.028,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,194,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Pulmonary adenoma,Pulmonary adenoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.248,0.34,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,188,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,Reticulum cell sarcoma,Reticulum cell sarcoma,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.597,0.65,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Holand 1977,187,76,76,At death,death,Pathology at death,Tumor_nonmammory,extracted,decreased,thymic lymphomas,thymic lymphomas,yes,intact,Female,Mus musculus,Mice,RFMf/Wg,no,,,5-6 weeks,5.5,0.165,0.078,,,Proportion,,,,,,,,,,109,103,Table 3,Only using data from non-irradiated animals,
Phelan 1995,161,65,65,At death or 27 months if still alive,27,Pathology cross sectional,Tumor_nonmammory,extracted,Increased,Proportion with tumors ,average number of neoplastic lesions,Yes,Sham,Female,Mus musculus,Mice,Swiss Webster,no,Laboratory,No,weaning,3,2.3,1.2,0.5,0.2,mean,number of lesions,S.E,1.870828693,0.721110255,,,,,,14,13,"Table 6, chapter 6",lots of info on specific lesions in table 5,67 animals examined. Doesn’t state which specific groups so have assumed t was spread evenly across five groups
Andervont 1950,184,73,73,15 months,15,Pathology cross sectional,Tumor_nonmammory,extracted,decreased,Liver pathology,Percentage hepatoma,yes,intact,Male,Mus musculus,Mice,C3H,no,,,30-70 days of age,14,0.12,0,,,Proportion,,,,,,,,,,38,36,Table 1,,
Andervont 1950,185,74,74,15 months,15,Pathology cross sectional,Tumor_nonmammory,extracted,decreased,Liver pathology,Percentage hepatoma,yes,intact,Male,Mus musculus,Mice,C3H,no,,,"30-70 days of age, plus 9 up to 160 days old",14,0.27,0.18,,,Proportion,,,,,,,,,,86,60,Table 1,,
Andervont 1950,186,75,75,15 months,15,Pathology cross sectional,Tumor_nonmammory,extracted,decreased,Liver pathology,Percentage hepatoma,yes,intact,Male,Mus musculus,Mice,CBA/J,no,,,"30-70 days of age, plus 4 up to 160 days old",14,0.29,0.2,,,Proportion,,,,,,,,,,48,32,Table 1,,
Borbelyova et al 2016,133,77,77,30 months,30,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,Open field test,Open field  rearing,Yes,unclear,Male,Ratus ratus,Rat,wistar albino,no,Laboratory,No,Day 47,6.5,1.709377237,2.187086614,0.622591267,0.621445956,means,cm,S.E.M,2.411285609,2.32523785,,,,,,15,14,Fig 1c,,
Borbelyova et al 2016,132,77,77,30 months,30,"activity, energetics and metabolism",Voluntary activity,checked,Increased,Open field test,Open field distance moved,Yes,unclear,Male,Ratus ratus,Rat,wistar albino,no,Laboratory,No,Day 47,6.5,977.6,639,159.4,115,means,cm,S.E.M,617.3535454,430.2905995,,,,,,15,14,Fig 1a,Do we want to include open field test considering it is in an unfamilar environment?,
Borbelyova et al 2016,135,77,77,30 months,30,"activity, energetics and metabolism",Voluntary activity,checked,Increased,voluntary activity assessment,observation cage distance moved,Yes,unclear,Male,Ratus ratus,Rat,wistar albino,no,Laboratory,No,Day 47,6.5,14.2,10.2,1.6,0.8,means,m,S.E.M,6.196773354,2.993325909,,,,,,15,14,Fig7A,Do we want to include open field test considering it is in an unfamilar environment?,
Borbelyova et al 2021,136,77,77,30 months,30,"activity, energetics and metabolism",Voluntary activity,checked,Increased,Open field test,Open field distance moved,Yes,Sham,Male,Ratus ratus,Rat,wistar albino,no,Laboratory,No,Day 47,6.5,1081,888.9,626.9,456.9,means,cm,SD,626.9,456.9,,,,,,7,3,Fig 6,Started with n = 5 for cast but lost 2 during experiment,
 Apelo 2020,1,7,7,12 months,12,"activity, energetics and metabolism",Voluntary activity,Yes,Increased,Total activity dark period,activity dark,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,3.5weeks,3.5,32.7,20.31,4.1,2.55,mean,counts (x10 to power 3),SEM,12.96533841,8.063808033,,,,,,10,10,fig 4,Just dark period data used as this is when animals are active,Mice WT of Rictor flox mice
 Apelo 2020,3,8,8,12 months,12,"activity, energetics and metabolism",Voluntary activity,Yes,Increased,Total activity dark period,activity dark,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,3.5weeks,3.5,19.36,20.63,2.54,4.13,mean,counts (x10 to power 3),SEM,8.424226968,13.06020674,,,,,,11,10,fig 4,Just dark period data used as this is when animals are active,Mice WT of Rictor flox mice
Leffa 2013,77,12,12,18 months,18,"activity, energetics and metabolism",Voluntary activity,checked,Increased,Open field test,open field test: number of crossing,yes,Sham,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,55.6,47.93,5.68,3.05,medium,number,SEM,19.67609717,10.56550993,,,,,,12,12,fig3,,
picazo 2016,98,21,21,13 months,13,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,voluntary activity assessment,spontaneous activity test: rearing,yes,intact,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,306.3,354.5,12,22.6,mean,number,SEM,26.83281573,50.53513629,,,,,,5,5,fig1B,,
picazo 2016,99,21,21,18 months,18,"activity, energetics and metabolism",Voluntary activity,checked,Increased,voluntary activity assessment,spontaneous activity test: rearing,yes,intact,Female,Ratus ratus,Rat,wistar,no,Laboratory,No,3 months,12,343.5,318.2,12.6,16.8,mean,number,SEM,28.17445652,37.56594202,,,,,,5,5,fig1B,,
Perez 1989,92,27,27,24 months,24,"activity, energetics and metabolism",Voluntary activity,checked,Increased,Open field test,open field test rearing,yes,Sham,Male,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,24h,0.14,3.84,6.58,1.06,1.61,mean,number,SEM,4.24,6.024068393,,,,,,16,14,fig1,Christine had extracted defication boluses but I deletedit as it has nothing to do with activity or ageing,
Perez 1989,91,27,27,24 months,24,"activity, energetics and metabolism",Voluntary activity,checked,Increased,Open field test,open field test segments crossed,yes,Sham,Male,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,24h,0.14,25.22,42.26,3.06,4.32,mean,number,SEM,12.24,16.16395991,,,,,,16,14,fig1,,
Perez 1989,94,27,27,24 months,24,"activity, energetics and metabolism",Voluntary activity,checked,Increased,voluntary wheel running,runnning wheel percent dark period,yes,Sham,Male,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,24h,0.14,77.8,83.55,2.93,2.15,mean,%activity,SEM,11.72,8.044563382,,,,,,16,14,fig3,,
Perez 1989,95,27,27,24 months,24,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,voluntary wheel running,runnning wheel total,yes,Sham,Male,Ratus ratus,Rat,sprague-Dawley,no,Laboratory,No,24h,0.14,3819.153146,4563.95924,465.5223585,501.9538979,mean,Total counts ,SEM,1862.089434,1878.13951,,,,,,16,14,fig3,,
Domonkos 2017,33,35,35,12 months,12,"activity, energetics and metabolism",Voluntary activity,checked,Increased,Open field test,open field test (total activity),yes,Sham,Male,Ratus ratus,Rat,Lewis,no,,,1 month,4,9.54,9.78,0.95,1.39,mean,m,SEM,4.654030511,6.809581485,,,,,,24,24,Fig 2,,
Domonkos 2017,34,35,35,12 months,12,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,voluntary activity assessment,Total distance moved 30 min (phenotyper),yes,Sham,Male,Ratus ratus,Rat,Lewis,no,,,1 month,4,0.591,0.68,0.0696,0.0695,mean,m,SEM,0.340968972,0.340479074,,,,,,24,24,Fig 2,,
Wang 2021 ,118,53,53,14-15months,14.5,"activity, energetics and metabolism",Voluntary activity,checked,Increased,voluntary activity assessment,locomotion (Assume voluntary?),yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,,,8months,35,26.15,39.22,2.18,4.79,mean,m,SEM,6.165971132,13.54816593,,,,,,8,8,fig 5 F,,
Phelan 1995,152,65,65,14 months old,14,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,voluntary wheel running,voluntary wheel running,Yes,Sham,Female,Mus musculus,Mice,Swiss Webster,no,Laboratory,No,weaning,3,4.824562683,2.472754329,0.533037655,0.349474053,mean,km/day,S.E,2.919567477,1.91414822,,,,,,30,30,Fig 3 chapter 6,stated this was measured on all animals. Looked at how many died up to each age point to estimate sample size,
Phelan 1995,153,65,65,20 months old,20,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,voluntary wheel running,voluntary wheel running,Yes,Sham,Female,Mus musculus,Mice,Swiss Webster,no,Laboratory,No,weaning,3,3.199626512,2.155931313,0.427177101,0.294472083,mean,km/day,S.E,1.812358947,1.530121829,,,,,,18,27,Fig 3 chapter 6,stated this was measured on all animals. Looked at how many died up to each age point to estimate sample size,
Phelan 1995,154,65,65,26 months old,26,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,voluntary wheel running,voluntary wheel running,Yes,Sham,Female,Mus musculus,Mice,Swiss Webster,no,Laboratory,No,weaning,3,2.494200721,1.816494755,0.428577681,0.33514728,mean,km/day,S.E,1.603590847,1.460873124,,,,,,14,19,Fig 3 chapter 6,stated this was measured on all animals. Looked at how many died up to each age point to estimate sample size,
de chaves et al 2009,164,67,67,18 months,18,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,Open field test,Open field distance number of crossings,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,3 months,12,56.34,48.22,5.33,3.33,mean,crossings,SEM,19.58367049,12.23520127,,,12 to 15,12 to 15,,14,14,Fig 3,,
de chaves et al 2009,165,67,67,18 months,18,"activity, energetics and metabolism",Voluntary activity,extracted,Increased,Open field test,Open field distance rearings,yes,Sham,Female,Ratus ratus,Rat,wistar,no,,,3 months,12,16.08,17.1,2.37,1.73,mean,rearings,SEM,8.707936036,6.356425883,,,12 to 15,12 to 15,,14,14,Fig 3,,
